IMO,Name,Built,TEU,GT,DWT,Length
9618599,KYPARISSIA,2014,4800,48338,58087,255.34
9654464,WIELAND,2014,4771,48385,56054,255.36
9624299,MAERSK KARUN,2014,4662,45169,59993,255.172
9193252,MAERSK WISCONSIN,2000,4658,50698,62441,292.081
9193264,MAERSK IDAHO,2000,4658,50698,61986,292
9235531,MAERSK VIRGINIA,2002,4658,50686,61609,292.1
9193276,GRASMERE MAERSK,2000,4658,50698,62007,292.08
9305300,MAERSK UTAH,2006,4650,50686,61454,292.1
9298686,MAERSK IOWA,2006,4650,50686,61454,292.1
9235543,MAERSK GATESHEAD,2002,4544,50686,61609,292.1
9235579,MAERSK GARONNE,2003,4544,50686,61636,292.08
9298698,MAERSK OHIO,2006,4544,50686,61454,292.1
9235555,MAERSK GIRONDE,2002,4544,50757,61609,292.1
9235567,MAERSK GAIRLOCH,2003,4544,50686,62207,292.1
9305312,MAERSK MONTANA,2006,4544,50686,61499,292.1
9313917,SEAGO FELIXSTOWE,2006,4504,48788,53700,294.1
9525405,MAERSK COPENHAGEN,2012,4500,50869,61614,249.121
9525285,MAERSK CONAKRY,2011,4500,50869,61614,249.12
9525326,MAERSK CAMEROUN,2011,4500,50869,61614,249.121
9525314,MAERSK CAPE COAST,2011,4500,50869,61614,249.121
9525338,MAERSK CHENNAI,2011,4500,50869,61614,249.121
9525297,MAERSK COTONOU,2011,4500,50869,61614,249.121
9525340,MAERSK CONGO,2011,4500,50869,61614,249.121
9526459,MAERSK CADIZ,2013,4500,50869,65458,249.121
9457000,MERKUR PLANET,2012,4500,50885,61962,249.11
9525467,MAERSK CASABLANCA,2012,4500,50869,61588,249.12
9525352,MAERSK CAPE TOWN,2011,4500,50869,61614,249.121
9525390,MAERSK COLOMBO,2012,4500,50869,61614,249.121
9525481,MAERSK CUBANGO,2012,4500,50869,61608,249.12
9525302,MAERSK CALABAR,2011,4500,50869,61614,249.121
9525479,MAERSK CAIRO,2012,4496,50869,61561,249.121
9525493,MAERSK CABINDA,2012,4496,50869,61547,249.121
9561485,MAERSK CUNENE,2011,4496,50869,61561,249.121
9525455,MAERSK CABO VERDE,2012,4496,50869,61643,249.121
9561497,MAERSK CUANZA,2012,4496,50869,61614,249.14
9458999,BROOKLYN BRIDGE,2010,4432,44459,52055,266.65
9450947,RENJIAN 26,2010,4400,42112,54369,260.25
9484534,ROSA,2010,4400,42112,54338,260.3
9484522,LANA,2010,4400,42112,54344,260.36
9464716,ALS CERES,2010,4395,42110,54308,260
9348455,NORTHERN GUARD,2008,4319,41835,53870,264.147
9193240,MAERSK KENTUCKY,1999,4300,50698,61986,292.08
9456965,SCHUBERT,2010,4300,41331,51687,262.06
